Brand.Code,Carb.Volume,Fill.Ounces,PC.Volume,Carb.Pressure,Carb.Temp,PSC,PSC.Fill,PSC.CO2,Mnf.Flow,Carb.Pressure1,Fill.Pressure,Hyd.Pressure1,Hyd.Pressure2,Hyd.Pressure3,Hyd.Pressure4,Filler.Level,Filler.Speed,Temperature,Usage.cont,Carb.Flow,Density,MFR,Balling,Pressure.Vacuum,PH,Oxygen.Filler,Bowl.Setpoint,Pressure.Setpoint,Air.Pressurer,Alch.Rel,Carb.Rel,Balling.Lvl
B,5.34,23.93333333,0.344666667,62.4,134.4,0.1934,0.06,0.08,125.2,124.2,54.8,10.2,29.8,29,98,101,7812450.4158189,65.4,23.48,3398,0.94,257069.08455775527,1.548,-5.2,8.858525276184082,-3.0194635153547207,4997.945355469508,50,0.9930697933232372,6.54,5.38,1.4
D,5.473333333,23.96666667,0.316666667,72.4,144.6,0.078,0.22,0.08,129.4,126.2,46.2,7,35,31.4,78,90.4,7569376.826443973,64.2,23.88,3098,1.8,249809.27761161418,3.686,-5.4,8.450677871704102,-2.8227578897731758,4048.273048483616,46,0.9930402345366552,7.72,5.58,3.32
D,5.553333333,24.06666667,0.234666667,66.6,136.4,0.036,0.28,0.12,114.8,124.6,49.4,2.2,30,29.8,80,96.2,7608322.426654326,65.2,23.8,3134,1.76,273968.80418738234,3.588,-5.6,8.50100040435791,-3.0814871595520303,4048.273048483616,46,0.9930893615754153,7.74,5.58,3.28
B,5.286666667,23.98666667,0.206,65.4,139.4,0.076,0.16,0.04,90,132.6,56.4,0.8,8.4,20,100,80.8,509801.5982785199,66.8,23.86,3778,0.92,10106.506844911488,1.496,-6,8.9144926071167,-2.812366708047058,4048.273048483616,46,0.9932420582441408,6.52,5.18,1.4
C,5.346666667,24.07333333,0.266,68.2,142.4,0.094,0.2,0.06,153.6,125.4,50.2,20.4,38,31.8,92,137,7979295.635013875,66,23.68,2990,1.04,306557.45856039604,1.796,-6.2,8.947620391845703,-3.3318957176873543,7197.161911225592,50,0.9930599680312793,6.6,5.36,1.6
B,5.366666667,24.06666667,0.268,69,142,0.126,0.1,0.02,151.8,123.6,50,21.2,35.6,33.2,92,89.8,7987284.614499164,66.8,24.08,3260,1.06,266618.48022500926,1.846,-6.2,8.99987506866455,-3.3259343037283187,4048.273048483616,50,0.99301042526141,6.54,5.36,1.46
D,5.553333333,23.90666667,0.22,68.6,137.2,0.092,0.16,0.02,147.6,124.8,47.2,14.6,36.2,35.2,84,107.4,7569376.826443973,66.4,23.6,3068,1.82,237940.66703949627,3.738,-6.4,8.620007514953613,-3.308274820569005,4048.273048483616,46,0.9930599680312793,7.74,5.6,3.26
D,5.566666667,23.9,0.234666667,68.2,138,0.124,0.2,0.12,143.2,125.4,46,13.2,35.4,33.4,80,90.2,7569376.826443973,66.6,23.74,3018,1.84,250941.19480044866,3.788,-6.4,8.625282287597656,-3.279563676420534,4048.273048483616,46,0.9930599680312793,7.74,5.6,3.26
B,5.213333333,23.92666667,0.256,73.2,151.6,0.148,0.32,0.04,0.2,130.4,55,-0.4,0.2,-1.2,126,90,509801.5982785199,66,23.84,44,1.58,10106.506844911488,3.142,-5.4,8.590429306030273,-2.906449026635944,4048.273048483616,50,0.9930991047652858,7.16,5.44,3.02
X,5.46,24.01333333,0.228,68.8,140,0.05,0.32,0.04,154.2,123.4,54.6,29.2,31.2,33,126,117,6135445.550872554,68.2,23.98,1048,1,10106.506844911488,1.698,-5.8,9.005435943603516,-2.9026523261208914,7197.161911225592,50,0.9930893615754153,6.6,5.44,1.44
X,5.34,23.98666667,0.282666667,64.6,137.6,0.094,0.08,0.04,144,133.2,50.8,11.2,36,36.6,82,103,7647367.956672812,67,24.12,1064,1.08,246288.5269505993,1.896,-5.8,8.703055381774902,-3.2087906282142282,4997.945355469508,50,0.9931088208163785,6.58,5.38,1.36
C,5.406666667,24.01333333,0.288666667,69,141.6,0.096,0.06,0.02,132,124.2,50,16.4,27,29.8,116,99.2,7639550.856285394,66.2,23.74,1086,0.92,249809.27761161418,1.496,-5.6,8.9523344039917,-2.9532391697428935,4997.945355469508,50,0.9930795911329003,6.6,5.44,1.5
C,5.433333333,24.04,0.220666667,65.6,136.8,0.088,0.28,0.02,137.8,127,50,14.6,32.6,30.2,116,100,7616123.538273993,66.6,23.48,1074,1,253070.4355770432,1.696,-5.8,9.116917610168457,-3.182932099313787,4997.945355469508,50,0.9930402345366552,6.48,5.42,1.48
C,5.36,23.94666667,0.252,68,141.8,0.162,0.08,0.04,136.2,125.4,50,9.4,34.6,31.4,90,100.2,7639550.856285394,65.8,23.72,1060,1.06,250516.42602644378,1.846,-6,9.059483528137207,-3.2683213947421303,4997.945355469508,50,0.9930599680312793,6.5,5.36,1.5
B,5.286666667,23.96,0.263333333,65,140,0.01,0.04,0.1,147.8,124.2,50.2,18.6,35.4,31.8,98,99.6,7623928.647085831,65.8,24.2,1062,0.94,255780.38648935192,1.548,-5.8,9.42114543914795,-3.921512085267705,4997.945355469508,50,0.9930697933232372,6.54,5.28,1.32
A,5.546666667,24.08666667,0.186,70.2,140,0.042,0.22,0.04,149,126,50.2,18,35.4,32.6,106,89.8,7987284.614499164,65.4,23.68,1064,1.72,265451.703051733,3.49,-5.6,8.7420806884765625,-4.211667597306404,4048.273048483616,50,0.9930501151412335,7.1,5.52,3.26
A,5.36,23.87333333,0.216666667,75,150.8,0.084,0.04,0.06,193,123.8,49.8,44.4,45.8,40,96,89.8,6476226.442040555,65.2,24.08,1070,1.6,216778.09185930062,3.19,-5.6,8.605690956115723,-3.343933862517585,4048.273048483616,50,0.9930501151412335,7.18,5.52,3.04
B,5.193333333,23.98,0.152,68.8,145.8,0.02,0.26,0.06,163.4,123,50.2,13.4,45,40.6,96,90.8,7639550.856285394,65.2,23.68,1068,1.02,259224.11054092328,1.746,-5.8,9.033653259277344,-5.493760148549885,4048.273048483616,50,0.9930501151412335,6.56,5.34,1.44
B,5.24,24.01333333,0.247333333,67,142.6,0.076,0.2,0.08,164.2,123.2,49.8,14.2,45,41.2,100,90.8,7631737.753089682,64.8,24.24,1070,0.96,251082.86434596294,1.598,-5.4,8.99781322479248,-4.968230999038749,4048.273048483616,50,0.9930599680312793,6.56,5.26,1.38
D,5.52,23.97333333,0.3,69.4,139.4,0.136,0.1,0,146.8,125,44,21,34.8,31.8,74,99.4,8027289.469697066,65.4,24.22,1098,1.8,269546.6167165333,3.688,-5,8.616997718811035,-4.420200616066642,4997.945355469508,44,0.9930893615754153,7.68,5.6,3.38
D,5.553333333,24.01333333,0.232666667,71.6,141.4,0.142,0.18,0.02,139.2,123.4,46,7,36.2,33,82,121.4,7907574.692994759,64.6,23.88,1084,1.84,264287.4844067129,3.786,-5.6,8.584696769714355,-4.381940685386922,7197.161911225592,46,0.9930501151412335,7.66,5.66,3.4
B,5.253333333,24.00666667,0.321333333,65.6,141,0.134,0.36,0.04,147.6,126.4,50.2,11.8,38,32,96,120,7915527.697808529,65.4,23.96,1090,0.94,264723.76657103834,1.548,-5.8,9.163082122802734,-5.493760148549885,7197.161911225592,50,0.9930303261004437,6.58,5.28,1.3
B,5.306666667,23.96666667,0.236,63.4,135.6,0.096,0.24,0.06,133.2,127.6,50.4,6.8,34.4,30,104,109.6,7955352.679669319,65,23.5,1082,0.94,263561.1470063946,1.548,-5.8,9.077199935913086,-5.493760148549885,6047.575217310926,50,0.9930795911329003,6.54,5.34,1.36
B,5.32,24.04,0.268666667,65.2,137.4,0.136,0.3,0.06,127.8,126.4,50.2,8,31,28.6,102,111,7987284.614499164,64.8,23.92,1092,0.96,263706.3345324319,1.598,-5.6,9.061149597167969,-5.493760148549885,6047.575217310926,50,0.9930697933232372,6.54,5.36,1.36
C,5.47,24.11333333,0.285333333,75,147.6,0.108,0.1,0.02,162,119.4,54.6,24.8,37.4,36.6,98,110.8,7979295.635013875,66.2,24.04,1062,1.14,276788.1321934236,2.046,-5.6,8.87703800201416,-5.493760148549885,6047.575217310926,50,0.9930599680312793,6.4,5.56,1.82
D,5.5,24.12666667,0.242666667,68.6,138.6,0.112,0.42,0,146,126,46,9,39.8,35.8,86,109.2,7963329.667598801,65,24.1,1064,1.84,266034.77182236576,3.786,-5.6,8.637757301330566,-3.944401044664572,6047.575217310926,46,0.9930501151412335,7.64,5.6,3.42
A,5.433333333,24.00666667,0.255333333,74.6,147.6,0.092,0.06,0.02,148.8,128.6,50.8,12.2,38.6,37.6,106,110.6,7979295.635013875,66.4,23.8,1062,1.74,260810.17964545317,3.54,-5.6,8.932326316833496,-4.691773831404026,6047.575217310926,50,0.9930501151412335,7.12,5.62,3.3
B,5.333333333,23.92,0.134666667,70.6,145.2,0.068,0.34,0.08,0.2,128.4,52.6,-0.6,0.2,-1.2,126,110.2,509801.5982785199,69,23.74,44,0.9,10106.506844911488,1.402,-5.2,9.204870223999023,-5.215916445007002,6047.575217310926,50,0.9930402345366552,6.42,5.3,1.44
B,5.36,24.06,0.219333333,71.4,145.4,0.118,0.08,0,149.8,126.8,50.4,21.6,34,32.4,92,110.2,7963329.667598801,66,23.98,1090,0.94,260954.60760806606,1.548,-5.2,9.277783393859863,-4.968230999038749,6047.575217310926,50,0.9930402345366552,6.52,5.42,1.3
B,5.28,24.06,0.218,64.8,140,0.058,0.34,0.08,154.4,129.6,50.2,18.6,38,35.8,98,110.4,7971310.652713704,64.2,23.78,1076,0.96,264723.76657103834,1.598,-5.4,9.123210906982422,-5.493760148549885,6047.575217310926,50,0.9930501151412335,6.56,5.34,1.36
B,5.313333333,23.94666667,0.288666667,65.4,139.2,0.046,0.2,0.02,146.2,123.8,51.8,16.2,36.2,32.8,96,110.4,7963329.667598801,64.4,23.58,1072,0.96,261532.71922880778,1.598,-5.4,9.052765846252441,-5.493760148549885,6047.575217310926,50,0.9930697933232372,6.56,5.36,1.36
B,5.24,24.05333333,0.244666667,60.2,134.2,0.042,0.18,0.04,153.6,131,50.2,15.2,39,36.8,90,109,7963329.667598801,65,24.12,1076,0.94,265888.94466420443,1.548,-5.2,9.163103103637695,-5.493760148549885,6047.575217310926,50,0.9930893615754153,6.56,5.34,1.36
B,5.2,23.90666667,0.318666667,70.6,146.6,0.09,0.18,0.1,148.4,123.8,50.2,21.2,33.2,32.8,96,110.4,7947379.688925409,64.2,23.74,1080,0.94,264869.27391316433,1.548,-5.2,9.0827054977417,-3.7285001924307695,6047.575217310926,50,0.9930599680312793,6.56,5.38,1.36
B,5.273333333,24.02666667,0.222,69.2,145.2,0.132,0.38,0.04,147.4,123.2,52.8,21,32,32.8,104,111,7947379.688925409,65.2,24.18,1074,0.88,269399.8301105845,1.398,-5,8.858643531799316,-3.584505295838843,6047.575217310926,50,0.9930303261004437,6.54,5.34,1.36
D,5.633333333,24.00666667,0.194666667,76,144,0.032,0.08,0.08,153.8,121.8,53,22,36,33.4,80,77.4,7979295.635013875,64.8,23.96,1074,1.82,270281.14940097375,3.736,-5.4,8.679433822631836,-3.6328101296890285,6047.575217310926,50,0.9930599680312793,7.64,5.74,3.42
D,5.593333333,24.04666667,0.231333333,75.8,146.2,0.094,0.2,0.06,146,124.2,53.6,13.2,37.4,35.6,80,93.4,8019280.504288462,65.2,23.62,1060,1.82,259512.12694842013,3.736,-5.6,8.542684555053711,-3.4001127192456013,6047.575217310926,46,0.9930893615754153,7.68,5.7,3.38
X,5.26,23.95333333,0.230666667,65.2,140,0.056,0.02,0.04,155.4,127.8,44.4,22,37.4,35.4,84,109.4,7955352.679669319,69,23.78,1074,1.04,263270.89188536507,1.798,-5,9.191169738769531,-3.8773779120443144,6047.575217310926,44,0.9930893615754153,6.56,5.36,1.62
B,5.346666667,23.92,0.181333333,69.2,143.8,0.108,0.36,0.04,167.8,131.2,44.2,24.2,40.2,37.8,102,110.2,7955352.679669319,67.4,23.82,1076,0.96,267934.16278522206,1.596,-5.4,9.226631164550781,-3.8991799762967365,6047.575217310926,44,0.9930991047652858,6.5,5.48,1.32
B,5.246666667,23.96666667,0.202666667,75,149.34,0.09,0.32,0.1,152,130.2,44,13.4,40.6,36,104,110.2,7971310.652713704,65.6,23.56,1078,0.94,265306.0358015828,1.548,-5.8,8.942676544189453,-4.122971504431989,6047.575217310926,44,0.9930991047652858,6.56,5.38,1.34
B,5.42,24.04,0.216,74,147.4,0.062,0.3,0.04,145.6,124.2,51.2,11,37.4,34.6,92,110.2,7963329.667598801,66.8,23.66,1054,1.04,263561.1470063946,1.796,-5.6,9.17782211303711,-4.3099542017005055,6047.575217310926,50,0.9930893615754153,6.5,5.46,1.5
B,5.36,23.98,0.216666667,66.8,140.2,0.118,0.42,0.04,124,124.8,50,6.4,32,27.2,92,109.4,7971310.652713704,67,24,1066,1,267056.6812854672,1.696,-5.6,9.163893699645996,-4.259482385055706,6047.575217310926,50,0.9930599680312793,6.52,5.36,1.38
B,5.393333333,24.02666667,0.244666667,68.6,141,0.092,0.42,0.1,147.8,123.8,50.2,20.2,34,33,100,109,7979295.635013875,67.6,23.72,1062,0.96,262980.79667240166,1.598,-5.2,9.208752632141113,-4.137167628974214,6047.575217310926,50,0.9930795911329003,6.5,5.42,1.38
D,5.586666667,24.03333333,0.214666667,73.4,142.6,0.106,0.2,0.12,147.4,125.4,51.6,19.4,36.6,30.8,84,110.4,7963329.667598801,66.8,23.74,1058,1.82,265160.4085284374,3.738,-5.4,8.68183708190918,-4.363400732538848,6047.575217310926,50,0.9930501151412335,7.68,5.7,3.42
D,5.58,24.05333333,0.18,73.4,142.6,0.102,0.08,0.08,0.2,130,44.2,-0.6,0.2,-1.2,110,110.8,509801.5982785199,69,23.88,44,1.76,205475.37870581896,3.61,-5.4,8.634352684020996,-3.3684858197001133,6047.575217310926,50,0.9930795911329003,7.66,5.66,3.42
A,5.48,24.07333333,0.218,68.2,138.6,0.096,0.22,0,145.4,121.4,50.2,23,32.6,31.4,112,109.2,7963329.667598801,67.8,23.86,1074,1.68,271753.21304300404,3.392,-5,8.834297180175781,-4.181132577726232,6047.575217310926,50,0.9930697933232372,7.06,5.58,3.34
B,5.24,23.99333333,0.238666667,62.4,137.6,0.1,0.14,0.12,151,123.6,50.2,25.4,34.4,31.4,96,110.2,7963329.667598801,66,23.54,1064,0.94,262111.47048197399,1.548,-4.8,8.987493515014648,-5.083439386653711,6047.575217310926,50,0.9930402345366552,6.5,5.42,1.44
B,5.34,24,0.19,64.8,137.8,0.052,0.18,0.04,149.2,123.2,50.4,25.2,34.2,30.8,88,110.8,7963329.667598801,66.2,23.6,1064,0.94,290491.3139764659,1.548,-4.8,8.998743057250977,-4.746239017002029,7197.161911225592,50,0.9930501151412335,6.5,5.42,1.44
B,5.373333333,23.92,0.196,65.8,138,0.076,0.08,0.02,146,120.2,49.6,27.4,32.6,30.8,104,107.4,7162697.15386533,66.2,23.56,1056,0.9,218360.83331333948,1.448,-4.8,9.012941360473633,-5.561722700918483,6047.575217310926,50,0.9930402345366552,6.5,5.4,1.46
D,5.6,24.04,0.216666667,68.4,136.8,0.074,0.12,0.04,151.6,124.8,46,24.8,34.6,32.8,76,106,7963329.667598801,64,23.92,1064,1.78,272638.37012276164,3.638,-5.2,8.6280364990234375,-5.561722700918483,6047.575217310926,46,0.99301042526141,7.68,5.74,3.36
D,5.666666667,23.99333333,0.215333333,71.2,135,0.094,0.38,0.04,0.2,127.6,43.660000000000004,-0.8,0.2,-1.2,114,110,509801.5982785199,65,23.84,42,1.76,10106.506844911488,3.588,-5.8,8.739591598510742,-5.493760148549885,6047.575217310926,44,0.9930501151412335,7.64,5.6,3.42
B,5.246666667,23.96666667,0.376,67.2,142.4,0.066,0.08,0.04,131,125.2,43.6,7,34,32,96,111,7963329.667598801,65.6,23.68,1056,1.06,262256.25823782553,1.846,-6,9.101141929626465,-5.493760148549885,6047.575217310926,44,0.9930697933232372,6.58,5.32,1.5
B,5.393333333,24.06666667,0.238666667,63.4,134.6,0.204,0.14,0.02,0.2,130.8,44,-0.8,0.2,-1.2,126,109.4,509801.5982785199,69,23.68,42,0.68,10106.506844911488,0.902,-5,9.062705993652344,-5.493760148549885,6047.575217310926,50,0.9930501151412335,6.52,5.4,1.44
B,5.213333333,23.94666667,0.198,76.4,149.34,0.122,0.4,0.12,154.4,126,53.4,16.8,33.6,36.8,102,109.4,7987284.614499164,66.2,23.64,1066,0.96,266910.5742883185,1.596,-5,9.044514656066895,-4.774767029043406,6047.575217310926,50,0.99301042526141,6.58,5.3,1.48
B,5.26,23.94666667,0.252,69.6,145.8,0.078,0.14,0,81.8,125.2,51,19.2,4.2,13.6,126,115.2,509801.5982785199,65.8,23.88,668,0.84,10106.506844911488,1.298,-4.8,9.177438735961914,-3.7285001924307695,6047.575217310926,50,0.9930203897148375,6.6,5.28,1.38
D,5.526666667,23.95333333,0.242,76.2,146.6,0.128,0.24,0.06,160,122.4,50,26.2,32,35,82,109.6,7955352.679669319,64.6,23.58,1070,1.68,263270.89188536507,3.39,-4.6,8.553014755249023,-2.9217900034623896,6047.575217310926,50,0.99301042526141,7.68,5.56,3.28
D,5.58,23.85333333,0.202,77,147,0.028,0.36,0.04,162.8,126.4,44,27.2,33,36,76,110.6,7955352.679669319,64.4,24.18,1068,1.72,260954.60760806606,3.488,-4.8,8.6434326171875,-4.055124917093795,6047.575217310926,44,0.9930501151412335,7.68,5.64,3.32
X,5.2,24.00666667,0.186,62.6,137.8,0.036,0.18,0.04,0.2,125,44.4,-1,0.2,-1.2,126,120,509801.5982785199,69,23.76,38,0.94,10106.506844911488,1.196,-4.6,9.15194034576416,-4.243263086437107,6047.575217310926,44,0.9930203897148375,6.58,5.38,0
X,5.273333333,24.02666667,0.301333333,68.8,145,0.13,0.06,0.06,165.4,125.4,48.2,15.2,36.2,38.4,116,110.2,8003274.565024487,67,23.76,1044,0.54,280519.76162311755,1.766,-5.2,9.0374116897583,-3.4001127192456013,6047.575217310926,44,0.9930303261004437,6.62,5.56,1.52
D,5.5,23.95333333,0.338666667,69.8,140.6,0.02,0.36,0.12,173.2,129.6,50.8,31.8,33.8,37.4,76,98.4,7971310.652713704,65.4,23.84,1048,1.32,258217.31239148672,3.714,-6,8.729243278503418,-3.9798424304292555,6047.575217310926,50,0.9930599680312793,7.68,5.5,3.32
B,5.16,23.96666667,0.294666667,64.8,142.2,0.076,0.14,0.04,194.4,122,50,26.4,35.8,42,100,110.4,7979295.635013875,65.8,23.82,1116,0.5,264142.1369726246,1.666,-5.6,8.925344467163086,-4.259482385055706,6047.575217310926,50,0.9930402345366552,6.54,5.24,1.44
B,5.286666667,23.96,0.274,66,140.2,0.1934,0.1,0.02,185.2,123,49.8,25,35.2,36.6,98,109.6,7971310.652713704,65,23.96,1124,0.52,265014.82123229763,1.716,-5.8,8.84597396850586,-5.493760148549885,6047.575217310926,50,0.9930303261004437,6.52,5.28,1.38
D,5.58,23.92,0.258,68.8,137,0.182,0.2,0.12,178,123.2,46,15.4,34.4,41.6,80,110.2,7963329.667598801,65.8,23.82,1184,1.32,268080.5496213173,3.714,-5.8,8.762962341308594,-5.493760148549885,6047.575217310926,46,0.9930303261004437,7.64,5.64,3.3
D,5.506666667,24.08,0.193333333,77,148.6,0.096,0.04,0.04,156.8,117.6,54,10.4,29.8,36.4,82,100.6,7979295.635013875,65,23.92,1226,1.34,222342.8726437966,3.764,-5.8,8.701620101928711,-4.591863144952263,6047.575217310926,46,0.9930203897148375,7.66,5.62,3.38
B,5.386666667,24.04,0.222666667,66.4,138.2,0.096,0.2,0.04,133.4,122.8,54.8,10.2,21.4,27.8,104,105.8,509801.5982785199,65,23.94,1188,0.46,10106.506844911488,1.566,-5.8,9.2227020263671875,-5.1695145582279185,6047.575217310926,50,0.9930501151412335,6.6,5.38,1.46
D,5.573333333,24.08666667,0.234,62.8,134.6,0.054,0.06,0.02,177.2,123.6,47.8,20.4,34.8,38,78,110.6,8027289.469697066,63.8,24.32,1184,1.34,269987.2163962617,3.764,-5.6,8.626564025878906,-5.561722700918483,6047.575217310926,48,0.9930599680312793,7.74,5.62,3.36
C,5.42,24.02666667,0.272666667,62.6,132.6,0.128,0.14,0.04,174.8,124.2,54.6,20,33,40.6,124,111.2,7963329.667598801,64.4,23.72,1180,0.6,278576.1961190853,1.918,-6.2,8.872431755065918,-4.665734334287467,6047.575217310926,50,0.9930303261004437,6.52,5.36,1.62
C,5.253333333,24.09333333,0.360666667,68.2,144.6,0.06,0.14,0.08,143.8,121.8,49.6,14,25.6,34,106,109.4,7963329.667598801,65,23.58,1180,0.6,263125.82429037476,1.918,-6,8.53433609008789,-5.493760148549885,6047.575217310926,50,0.9930402345366552,6.5,5.24,1.62
C,5.22,23.96,0.224666667,64.4,140,0.126,0.4,0.04,170.8,125,50.2,25,28.6,38,116,110.2,7971310.652713704,65,24.16,1178,0.58,267495.24213887885,1.868,-5.8,8.451269149780273,-4.746239017002029,6047.575217310926,50,0.9930697933232372,6.54,5.22,1.62
